"","id","group","age","gender","ffmq.X1","ffmq.X2","ffmq.X3","ffmq.X4","ffmq.X5","ffmq.X6","ffmq.X7","ffmq.X8","ffmq.X9","ffmq.X10","ffmq.X11","ffmq.X12","ffmq.X13","ffmq.X14","ffmq.X15","ffmq.X16","ffmq.X17","ffmq.X18","ffmq.X19","ffmq.X20","ffmq.X21","ffmq.X22","ffmq.X23","ffmq.X24","ffmq.X25","ffmq.X26","ffmq.X27","ffmq.X28","ffmq.X29","ffmq.X30","ffmq.X31","ffmq.X32","ffmq.X33","ffmq.X34","ffmq.X35","ffmq.X36","ffmq.X37","ffmq.X38","ffmq.X39","ic_scoops","ic_rt"
"1", 729,1,52.90062,"f",1,3,5,3,3,3,4,5,2,5,3,5,3,5,1,1,5,3,3,3,2,3,4,2,5,2,5,5,3,5,3,3,3,5,5,1,3,5,5,15.328496,415.0613
"2", 716,1,45.41358,"f",2,3,3,4,2,1,4,2,5,5,1,4,1,3,1,5,3,3,5,1,5,3,4,5,5,1,4,3,5,4,1,4,5,2,5,1,5,1,4,22.813433,393.7510
"3", 969,1,45.17635,"m",3,3,5,5,1,3,3,2,5,4,3,2,4,4,4,1,4,3,5,3,5,3,1,5,2,1,2,3,5,3,2,2,5,3,4,3,2,3,2,21.867165,338.0648
"4", 240,1,30.39148,"m",4,3,4,4,2,4,2,2,3,5,4,1,3,4,4,1,3,3,2,4,3,2,2,2,3,4,1,3,3,4,3,2,5,2,5,4,1,3,5,16.516796,411.9761
"5", 553,1,46.36427,"m",4,3,3,5,3,2,1,1,2,4,1,3,2,3,2,2,4,2,5,1,5,3,2,4,5,2,3,2,4,5,2,2,2,1,3,1,2,1,3,24.850680,373.3646
"6", 929,1,50.51695,"f",1,4,3,4,4,1,3,4,2,4,1,3,2,5,1,4,2,1,2,1,3,3,4,5,4,1,4,4,4,3,1,1,2,3,3,1,3,2,3,20.126792,320.8367
"7", 146,1,26.65913,"f",1,2,3,3,2,1,4,3,3,4,1,3,2,3,1,3,3,1,3,1,3,3,2,4,3,1,2,5,4,2,1,2,3,4,4,2,2,3,3,21.232590,385.9199
"8", 999,1,18.83504,"m",3,4,5,3,4,3,2,4,5,5,2,2,2,5,2,3,4,1,4,2,2,4,3,2,5,3,2,2,3,4,2,3,4,3,5,2,4,3,5,18.649960,377.1654
"9", 171,1,48.10769,"m",4,3,4,5,2,3,5,2,5,3,3,4,5,4,4,4,3,5,5,4,5,3,2,5,3,2,4,1,5,2,4,4,4,1,3,4,3,2,3,19.877057,353.7737
"10", 473,1,45.77448,"f",3,3,5,3,4,2,2,5,2,4,4,1,4,3,4,4,4,4,3,2,4,1,3,2,5,2,3,4,4,3,3,1,2,1,3,3,2,4,3,14.150104,450.7091
"11", 917,1,49.88496,"f",1,4,5,5,4,1,3,3,4,3,1,3,5,3,1,5,5,5,3,1,5,5,5,5,2,1,4,4,5,2,1,4,5,5,4,1,5,5,5,24.884612,434.2935
"12", 483,1,35.98158,"m",2,2,5,5,5,1,3,2,5,2,1,4,4,2,1,3,5,4,4,1,5,2,1,5,4,2,3,3,5,3,1,4,5,4,4,1,2,5,3,24.369131,425.5374
"13", 561,1,35.13757,"m",4,4,3,2,2,2,3,4,3,4,2,4,3,3,1,4,4,3,2,3,3,3,2,4,5,4,2,2,3,5,4,3,3,3,5,3,4,1,5,22.123799,312.5887
"14", 356,1,46.34156,"m",3,2,4,4,3,3,2,3,4,5,3,5,1,5,1,4,5,3,4,2,3,2,2,5,4,3,3,4,3,5,3,3,3,1,4,4,2,2,4,22.208593,422.3557
"15", 273,1,31.35114,"m",2,2,2,3,4,3,4,5,5,3,1,4,2,4,3,4,2,3,3,3,5,1,3,2,2,3,3,3,5,3,1,1,4,1,4,2,4,1,3,27.374488,486.0949
