"","id","group","age","gender","ic_scoops","ic_rt","ffmq.X1","ffmq.X2","ffmq.X3","ffmq.X4","ffmq.X5","ffmq.X6","ffmq.X7","ffmq.X8","ffmq.X9","ffmq.X10","ffmq.X11","ffmq.X12","ffmq.X13","ffmq.X14","ffmq.X15","ffmq.X16","ffmq.X17","ffmq.X18","ffmq.X19","ffmq.X20","ffmq.X21","ffmq.X22","ffmq.X23","ffmq.X24","ffmq.X25","ffmq.X26","ffmq.X27","ffmq.X28","ffmq.X29","ffmq.X30","ffmq.X31","ffmq.X32","ffmq.X33","ffmq.X34","ffmq.X35","ffmq.X36","ffmq.X37","ffmq.X38","ffmq.X39"
"1", 614,1,51.12961,"m",22.391287,390.0384,3,2,5,3,5,4,1,2,2,5,4,2,3,3,2,2,5,2,2,3,2,2,3,3,5,3,1,3,2,5,3,1,4,3,5,3,2,4,4
"2",  74,1,49.42691,"f",17.619593,403.1031,2,5,5,3,2,3,3,5,5,3,2,3,2,4,4,5,5,3,4,3,5,4,3,5,4,3,5,3,3,5,3,4,5,2,3,3,5,1,5
"3", 620,1,23.07000,"m",22.288653,281.3609,1,3,5,4,4,2,1,4,3,5,4,2,4,5,1,2,5,2,2,2,5,3,3,4,4,1,3,4,4,4,2,3,5,3,5,2,4,4,5
"4", 271,1,35.26801,"m",16.220036,424.1710,1,2,4,3,1,1,2,2,4,5,1,5,2,4,3,2,5,2,3,1,5,3,5,2,4,2,4,2,4,4,2,4,4,2,4,1,3,2,5
"5", 660,1,48.54527,"m",13.702247,457.1359,3,5,5,3,4,2,5,5,5,3,3,5,5,4,2,4,4,5,4,3,2,5,5,5,5,1,5,4,3,3,3,4,4,5,5,3,4,5,5
"6", 705,1,28.42038,"m",16.947872,427.6047,3,5,4,4,4,1,3,5,5,3,1,3,1,5,2,4,3,4,4,2,3,1,5,5,4,1,3,5,5,4,3,3,5,4,5,1,3,4,3
"7", 549,1,40.46827,"m",21.301079,348.8359,4,1,5,2,4,4,1,4,2,3,4,3,5,4,2,2,3,4,2,4,2,2,5,2,3,3,1,4,2,3,3,3,2,5,4,4,1,4,4
"8", 164,1,47.74417,"f",20.750498,493.4407,1,3,5,5,3,1,3,3,5,2,2,2,3,3,1,4,5,2,5,2,4,2,2,4,4,3,2,1,5,4,3,2,3,1,4,1,4,4,5
"9", 257,1,19.87384,"f",22.654028,574.8332,2,4,3,2,4,2,5,4,3,2,1,2,4,2,1,4,2,4,3,1,2,4,5,2,2,1,3,5,3,3,1,4,4,4,2,1,5,3,2
"10", 505,1,32.78045,"m",20.933676,438.4884,2,3,4,4,3,1,5,2,4,5,4,4,3,3,2,5,5,3,3,3,4,5,2,4,4,4,4,4,2,4,2,5,2,5,5,2,5,4,4
"11", 638,1,31.62227,"f",17.066175,399.2611,3,4,4,3,4,4,4,5,2,3,4,3,5,3,3,4,2,5,2,2,2,4,5,2,2,3,3,5,3,2,3,2,2,5,3,2,4,3,3
"12", 498,1,27.13503,"f",34.528086,397.7802,2,4,5,5,4,3,5,5,5,4,2,3,5,5,1,3,5,4,5,3,5,5,5,4,3,2,5,5,4,2,1,5,4,4,4,1,5,4,5
"13", 516,1,24.58860,"f",22.388759,310.2831,2,3,3,4,2,3,3,4,3,2,3,3,1,2,3,2,2,2,5,2,4,3,1,4,2,2,4,2,3,2,2,3,3,3,4,2,1,2,4
"14", 167,1,51.84669,"f",16.067482,440.9764,2,4,5,5,3,3,4,2,5,5,3,4,3,5,1,5,5,3,4,3,5,4,1,5,5,3,5,2,4,5,3,3,4,3,5,1,5,2,5
"15", 570,1,41.82023,"f",18.812069,451.3471,3,5,3,5,3,4,5,4,5,3,3,4,2,5,2,5,2,1,4,3,5,4,3,4,5,2,5,3,5,3,3,5,5,2,5,3,4,1,3
"16", 120,1,37.81286,"f",20.316667,394.9302,1,4,5,3,1,2,4,2,4,5,2,5,1,5,2,4,4,2,4,1,5,3,2,4,5,2,5,2,3,5,2,4,4,3,5,1,3,2,5
"17", 225,1,20.07059,"f",22.466019,410.2878,1,4,5,5,2,2,5,3,5,5,1,4,3,4,2,5,4,1,5,1,3,3,3,5,4,2,5,3,5,5,1,2,5,3,4,3,2,4,4
"18", 555,1,29.03343,"f",17.987807,401.3578,1,1,5,3,3,2,2,4,3,3,1,3,4,4,1,3,3,5,4,1,2,3,4,3,5,1,1,5,2,5,2,3,3,4,5,1,3,5,5
"19", 364,1,18.79338,"m",23.324357,344.1676,4,5,5,5,3,4,5,4,4,4,4,5,4,5,4,5,5,2,5,4,5,2,3,5,3,4,4,3,5,4,4,5,4,4,5,4,3,3,4
"20", 124,1,25.03790,"m",26.654625,428.7967,1,2,5,2,5,1,3,5,3,5,1,3,5,3,3,3,5,5,2,1,4,3,3,3,5,2,2,4,4,5,2,4,2,4,5,1,1,3,4
